District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter,Agency Name,State Name,State Abbr,Agency ID,NumSchools,LowGrade,HighGrade,NumStudents,URL
634170.0,Board Meeting Calendar(opens in new window/tab),https://sbcusdcom.finalsite.com/fs/resource-manager/view/a57ea512-5b1d-4d02-95b3-a1e982ba8cd5,0,0,,0,0,SAN BERNARDINO CITY UNIFIED,California,CA ,634170.0,75.0,Kindergarten,12th Grade,46509.0,https://www.sbcusd.com
3904380.0,Archived Meetings,https://www.youtube.com/@columbuscityschoolsboe8345/streams,0,0,,0,0,COLUMBUS CITY SCHOOL DISTRICT,Ohio,OH ,3904380.0,117.0,Prekindergarten,12th Grade,45547.0,https://www.ccsoh.us
1201740.0,Regular School Board Meeting on 6/13,https://www.stjohns.k12.fl.us/news/sjcsb-meeting-on-6-13-2023,0,,,0,0,ST. JOHNS,Florida,FL ,1201740.0,54.0,Prekindergarten,12th Grade,48032.0,https://www.stjohns.k12.fl.us
2400330.0,BOE Meeting,https://www.fcps.org/boe/calendar/3221994/boe-meeting,1,0,,0,0,FREDERICK COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400330.0,69.0,Prekindergarten,12th Grade,45220.0,https://www.fcps.org
4838730.0,,,,,,,,SAN ANTONIO ISD,Texas,TX ,4838730.0,100.0,Prekindergarten,12th Grade,44710.0,https://www.saisd.net
1201680.0,Past Board Meetings and Workshops,https://www.youtube.com/playlist?list=plqm-l68fnvteeggk-nzjvjpywuygql7wa,1,0,,0,0,SARASOTA,Florida,FL ,1201680.0,62.0,Prekindergarten,12th Grade,43896.0,https://www.sarasotacountyschools.net
4110040.0,Meetings,https://www.pps.net/page/1791,0,0,,0,0,PORTLAND SD 1J,Oregon,OR ,4110040.0,86.0,Prekindergarten,12th Grade,45171.0,https://www.pps.net
401870.0,PTO Collaboration Meetings,https://www.cusd80.com/page/95679,1,0,,0,0,CHANDLER UNIFIED DISTRICT #80 (4242),Arizona,AZ ,401870.0,45.0,Prekindergarten,12th Grade,43923.0,https://www.cusd80.com
1200330.0,Board Meetings,https://www.collierschools.com/domain/2001,0,0,,0,0,COLLIER,Florida,FL ,1200330.0,73.0,Prekindergarten,12th Grade,47617.0,https://www.collierschools.com
1201770.0,Meeting Video Archive,https://www.youtube.com/playlist?list=pl3s7jdktsqelwbivtzwrng_khr6tgergh,0,0,,0,0,ST. LUCIE,Florida,FL ,1201770.0,52.0,Prekindergarten,12th Grade,43612.0,https://www.stlucieschools.org
607440.0,,,,,,,,CAPISTRANO UNIFIED,California,CA ,607440.0,59.0,Kindergarten,12th Grade,42754.0,https://www.capousd.org
200180.0,Board Meetings,https://www.asdk12.org/page/4329,0,0,,0,0,ANCHORAGE SCHOOL DISTRICT,Alaska,AK ,200180.0,97.0,Prekindergarten,12th Grade,43054.0,https://www.asdk12.org
4825660.0,Previous Board Meeting Videos,https://www.killeenisd.org/page/15721,1,0,2,0,0,KILLEEN ISD,Texas,TX ,4825660.0,54.0,Prekindergarten,12th Grade,43882.0,https://www.killeenisd.org
4701590.0,15JunBoard RoomBoard Meeting Quarterly Session,https://www.hcde.org/cms/one.aspx?portalid=350278&pageid=350294&objectid.38753=76148189&contextid.38753=350338&parentid.38753=350339&localstartdate=2023-06-15t16:30&localenddate=2023-06-15t17:30&ref=mestp9fg96fvsgzpwyeogmxsdjd7scyq9wsa5dhiote%3d,0,0,,0,0,HAMILTON COUNTY,Tennessee,TN ,4701590.0,79.0,Prekindergarten,12th Grade,45176.0,https://www.hcde.org
619540.0,Board of Trustees - Regular Meeting,https://www.kernhigh.org/apps/events/2023/9/5/11423174/?rec_id=11423174&id=0,0,0,,,0,KERN HIGH,California,CA ,619540.0,24.0,9th Grade,12th Grade,42863.0,https://www.kernhigh.org
1201260.0,,,,,,,,MARION,Florida,FL ,1201260.0,61.0,Prekindergarten,12th Grade,42678.0,https://www.marion.k12.fl.us
635310.0,,,,,,,,SANTA ANA UNIFIED,California,CA ,635310.0,52.0,Kindergarten,12th Grade,41835.0,https://www.sausd.k12.ca.us
4704530.0,"April 17, 2023 School Board Meeting Agenda",https://meeting.boeconnect.net/public/agenda/566?meeting=578943,1,0,,0,0,WILLIAMSON COUNTY,Tennessee,TN ,4704530.0,51.0,Prekindergarten,12th Grade,41954.0,https://www.wcs.edu
4827030.0,Read more,https://news.leanderisd.org/announcing-shelley-roberts-as-tarvin-elementary-school-principal,0,0,,0,0,LEANDER ISD,Texas,TX ,4827030.0,46.0,Prekindergarten,12th Grade,41780.0,https://www.leanderisd.org
408800.0,Meetings,https://govboard.tusd1.org/meetings,0,0,,0,0,TUCSON UNIFIED DISTRICT (4403),Arizona,AZ ,408800.0,90.0,Prekindergarten,12th Grade,42002.0,https://www.tusd1.org
2101860.0,,,,,,,,FAYETTE COUNTY,Kentucky,KY ,2101860.0,80.0,Prekindergarten,12th Grade,41415.0,https://www.fcps.net
609030.0,Board Meetings & Archives,https://www.cusd.com/boardmeetingsagendasarchives.aspx,0,0,0,0,0,CLOVIS UNIFIED,California,CA ,609030.0,49.0,Kindergarten,12th Grade,42699.0,https://www.cusd.com
3411340.0,,,,,,,,NEWARK PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3411340.0,65.0,Prekindergarten,12th Grade,40876.0,https://www.nps.k12.nj.us
4814280.0,,,,0.0,0.0,0.0,0.0,CLEAR CREEK ISD,Texas,TX ,4814280.0,46.0,Prekindergarten,12th Grade,40832.0,https://www.ccisd.net
4807830.0,Video Alief,https://video.aliefisd.net,0,0,,0,0,ALIEF ISD,Texas,TX ,4807830.0,46.0,Prekindergarten,12th Grade,40664.0,https://www.aliefisd.net
633150.0,,,,,,,,RIVERSIDE UNIFIED,California,CA ,633150.0,49.0,Kindergarten,12th Grade,39626.0,https://www.rusd.k12.ca.us
3704620.0,,,,,,,,UNION COUNTY PUBLIC SCHOOLS,North Carolina,NC ,3704620.0,52.0,Prekindergarten,13th Grade,40600.0,https://www.ucps.k12.nc.us
5100810.0,,,,,,,,CHESAPEAKE CITY PBLC SCHS,Virginia,VA ,5100810.0,48.0,Prekindergarten,12th Grade,40458.0,https://www.cpschools.com
4110820.0,School Board Meetings Archive,https://salkeiz.k12.or.us/schoolboard/school-board-archives,0,0,1,0,0,SALEM-KEIZER SD 24J,Oregon,OR ,4110820.0,65.0,Prekindergarten,12th Grade,39507.0,https://www.salkeiz.k12.or.us
4826580.0,Online Board,https://pol.tasb.org/home/index/481,1,0,,0,0,LAMAR CISD,Texas,TX ,4826580.0,44.0,Prekindergarten,12th Grade,39579.0,https://www.lcisd.org
4843650.0,Word,https://links.psqr.io/3tug88m,3,0,,0,0,UNITED ISD,Texas,TX ,4843650.0,50.0,Prekindergarten,12th Grade,39316.0,https://www.uisd.net
1200300.0,,,,,,,,CLAY,Florida,FL ,1200300.0,51.0,Prekindergarten,12th Grade,38593.0,https://oneclay.net
614880.0,,,,,,,,GARDEN GROVE UNIFIED,California,CA ,614880.0,66.0,Kindergarten,12th Grade,38560.0,https://www.ggusd.us
4830390.0,Service Record Request (opens in new window/tab),https://docs.google.com/forms/d/1oeketyvlh_z90lzx9tollnitmtiwxkszy3_nhdcrndi/viewform?edit_requested=true,0,0,,0,0,MESQUITE ISD,Texas,TX ,4830390.0,50.0,Prekindergarten,12th Grade,38378.0,https://www.mesquiteisd.org
4811680.0,Board Meetings and Agendas,https://www.bisd.us/about/board-meetings-and-agendas,0,0,,0,0,BROWNSVILLE ISD,Texas,TX ,4811680.0,56.0,Prekindergarten,12th Grade,38448.0,https://www.bisd.us
